rank,model_group,model,information_set,strategy_type,strategy_category,sharpe_net,ceq_gain_vs_always_short_gamma3_annualized,max_drawdown_diff_vs_always_short,pct_months_traded,avg_turnover,annualized_mean_return_net,max_drawdown,worst_monthly_return,hit_ratio
108,Naive,IV as RV Forecast,Option,scaled_long_short,scaled,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
109,Naive,IV as RV Forecast,Option,scaled_short_only,scaled_short_vol_risk_control,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
110,Naive,IV as RV Forecast,Option,short_only_exit_when_negative,short_vol_risk_control,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
111,Naive,IV as RV Forecast,Option,short_only_threshold_half_sd,short_vol_risk_control,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
112,Naive,IV as RV Forecast,Option,short_only_threshold_one_sd,short_vol_risk_control,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
113,Naive,IV as RV Forecast,Option,threshold_half_sd_long_short,long_short_threshold,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
114,Naive,IV as RV Forecast,Option,threshold_one_sd_long_short,long_short_threshold,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
115,Naive,IV as RV Forecast,Option,threshold_quantile_25_75,long_short_threshold,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
116,ML,Neural Network,HAR+Macro,scaled_long_short,scaled,1.53673111061501,-0.93338292773696,1.94146798519497,0.845161290322581,0.372370401336527,1.57533486268308,-1.52155095296259,-1.23379630045065,0.793548387096774
117,ML,Neural Network,HAR,scaled_short_only,scaled_short_vol_risk_control,1.23737319487668,-0.962858098210944,1.94045772779045,0.787096774193548,0.193698222745339,1.05031939401942,-1.52256121036711,-1.23379630045065,0.864516129032258
118,Naive,Historical Mean RV,Historical RV,short_only_exit_when_negative,short_vol_risk_control,1.44718019375179,-0.972939109976607,2.22722263770691,0.258064516129032,0.167741935483871,1.43563751791683,-1.23579630045065,-1.23479630045065,0.309677419354839
119,ML,Random Forest,HAR+Macro,short_only_threshold_half_sd,short_vol_risk_control,1.67259444561826,-0.973555851292211,1.94189722587977,0.387096774193548,0.258064516129032,1.90532503085653,-1.52112171227779,-1.23379630045065,0.825806451612903
120,Naive,Historical Mean RV,Historical RV,scaled_short_only,scaled_short_vol_risk_control,1.00455398930035,-0.977026752272415,2.22722263770691,0.212903225806452,0.11744893831648,0.714748525758473,-1.23579630045065,-1.23479630045065,0.309677419354839
121,Combination,Neural Network EW,Multiple,scaled_long_short,scaled,1.60991773340716,-0.993096413838571,1.24649559520167,0.845161290322581,0.369726220694472,1.78658362902996,-2.21652334295589,-1.23379630045065,0.832258064516129
122,ML,PCA,HAR+Macro,scaled_long_short,scaled,1.20154294785691,-0.994910403693517,1.24616932226085,0.845161290322581,0.186779041039631,1.02136743846702,-2.21684961589671,-1.23379630045065,0.870967741935484
